genre,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
blues,-164.608175036,113.94160334,-7.3969927130999995,46.61506261,-3.65016194801,22.346306896,-10.6821044267,13.9129884532,-12.447495538386999,8.174269368200001,-9.7564649746,3.5432899285,-8.05350727873
classical,-320.0657477,141.25196626000002,-19.675219914499998,23.263657007000003,-2.4051380369,2.2274428013,-7.696649589385,-0.4606262058999999,-6.42192845817,1.21790675517,-5.9172255223,-0.57342055769,-2.06751715156
country,-145.044574123,113.48697264,-8.2739569542,37.64963958,1.67595824601,11.068950315285,-4.43957081824,7.98449269921,-9.06287363332,6.273649622520001,-7.0573565705,3.018650032,-5.40614960296
disco,-93.747821036,84.88735018,-10.155089067,31.621114987000002,-3.3837023411000002,17.333358092,-6.5930945849,13.2274860113,-8.766964397599999,10.80633955864,-7.338861590162001,5.57159832026,-6.0511550974
hiphop,-103.02214348,78.96146737,-1.3227240165999998,38.32978381,1.2593821200000002,17.1818277928,-3.159166383,12.79321588,-3.8693970401,9.860847142,-2.6987593166800004,7.20212500911,-2.45684204227
jazz,-215.60641013131314,114.33120483838384,-4.985060645151515,36.77498722727273,-1.7227318936363636,10.680920561515151,-3.898512202090909,4.901920013434344,-7.886509452121212,3.5279681512121215,-4.270790051484848,2.168163412929293,-2.841502557878788
metal,-63.0990760667,85.92135612,-31.327268783,58.367732329999995,-13.0628459045,25.898552730000002,-12.2572166916,22.675724415,-12.3844235673,16.703362441,-11.2268465394,13.220178675,-11.944983724000002
pop,-67.889692243,67.96893148999999,12.742234186640001,16.31162686,9.964633725999999,3.7236280581,6.8359416931,1.6777316983,3.8955742701000005,4.03905539562,-2.2063142565800002,0.20998624782,-0.50405970992
reggae,-162.57925305,93.60237012600001,-2.8006726604,35.027428258,4.84308594453,17.1670028456,-0.3223978538,11.1004898803,-2.44800533887,7.69983192924,-1.39829797205,5.0100199347,-1.1080117853
rock,-110.3497614377,101.10698400999999,-16.050145055,39.100809876,-5.0472072398,18.760456403600003,-9.112675663200001,13.40659247479,-10.62576359087,8.9913012786,-8.36880077276,5.367679230579999,-7.5315757058
