genre,centroid,bandwidth,zcr,rms
blues,515.4577998111027,330.2061702546613,0.035212942370418984,0.05195298599551861
classical,348.05383830118825,254.08589054696768,0.02603466219535986,0.036814521093075536
country,575.8725105137763,445.2390814744222,0.03020734334225076,0.04916963554394379
disco,478.77601320953715,357.4427109755067,0.03037862100404031,0.04327738475174386
hiphop,479.242775881187,347.1751366121909,0.032026700498530396,0.05986056465773073
jazz,683.9393446611083,570.1903451182669,0.03698433707073328,0.04529125282006883
metal,368.4917359383195,201.24790408028,0.03431761110964316,0.06413378233533919
pop,582.0856335248455,316.89111640455957,0.03685683420481861,0.057973594907220566
reggae,626.574132441517,390.71397404359277,0.04014468003776033,0.05063660257348816
rock,483.7963793783608,347.8469895167206,0.03499540633562214,0.043757475625823716
